"""ar""","""bg""","""ca""","""cs""","""da""","""de""","""el""","""en""","""en-GB""","""es""","""et""","""fi""","""fr""","""hi""","""hr""","""hu""","""id""","""is""","""it""","""iw""","""ja""","""ko""","""lt""","""lv""","""ml""","""nl""","""no""","""pl""","""pt-BR""","""pt-PT""","""ro""","""ru""","""sk""","""sl""","""sr""","""sv""","""ta""","""te""","""th""","""tr""","""uk""","""vi""","""zh-CN""","""zh-TW""","""bn""","""cy""","""es-419""","""fa""","""gu""","""hy""","""ka""","""kn""","""lo""","""mr""","""ne""","""ur""","""fr-CA""","""ms""","""es-MX""","""fil""","""pos""","""description""","""notes"""
"الصفحة الأولى","първа страница","pàgina d'inici","úvodní stránka","forside","Titelseite","αρχική σελίδα","frontpage","frontpage","página principal","esileht","etusivu","première page","मुखपृष्ठ","naslovnica","kezdőoldal","laman depan","upphafssíða","prima pagina","דף ראשון","トップページ","메인 페이지","pradžios puslapis","Pirmā lapa","മുന്‍പേജ്","voorpagina","forside","pierwsza strona","primeira página","primeira página","prima pagină","главная страница","titulná strana","začetna stran","главна страница","förstasidan","முதல்பக்கம்","మొదటి పేజి","หน้าหนึ่ง","ön sayfa","головна сторінка","trang chủ","资讯首页","首頁","","","","","","","","","","","","","","","","","noun","The page on Google News where a user usually accesses the product. Example: http://www.google.com/news?pz=1&amp;ned=us",""
"أعمال","Бизнес","Economia","Ekonomika","Erhverv","Wirtschaft","Οικονομία","Business","Business","Economía","Äri","talous","Économie","व्यवसाय","Posao","üzleti élet","bisnis","Viðskipti","Economia","עסקים","ビジネス","경제","Verslas","Uzņēmējdarbība","ബിസിനസ്സ്","Economie","Næringsliv","Gospodarka","Negócios","Economia","Afaceri","Бизнес","Obchod","gospodarstvo","Бизнис","Ekonomi","வணிகம்","వ్యాపారం","ธุรกิจ","İş","Бізнес","Kinh doanh","财经","財經","","","","","","","","","","","","","","","","","noun","Section: Shown in the left navigation bar of news search results. One of the 9 standard sections in Google News.",""
"مقالة رأي","","","názory","kronik","Op-Ed","άποψη","op-ed","op-ed","artículo de opinión","","","tribune","लेखक की राय","","vélemény","opini","","editoriale","מאמר דעה","論説","사설/칼럼","","","ഓപ്പ്-എഡ്","opinieartikel","lederartikkel","wstępniak","art. de opinião","Op/Ed","articol de opinie","независимое мнение","editoriál","","колумна","krönika","கருத்து பொதிந்த கட்டுரை","op-ed","ความเห็นบรรณาธิการ","serbest kürsü","Точка зору","bài viết bình luận độc lập","专栏","專欄","","","","","","","","","","","","","","","","","noun","An op-ed (short for opposite the editorial page) is an opinion-based article piece which expresses the opinions of an author. Users can apply a label by the same name, if their publication is opinion-based.",""
"مقالة رأي","","","názory","kronik","Op-Ed","άποψη","op-ed","op-ed","artículo de opinión","","","tribune","लेखक की राय","","vélemény","opini","","editoriale","מאמר דעה","論説","사설/칼럼","","","ഓപ്പ്-എഡ്","opinieartikel","lederartikkel","wstępniak","art. de opinião","Op/Ed","articol de opinie","независимое мнение","editoriál","","колумна","krönika","கருத்து பொதிந்த கட்டுரை","op-ed","ความเห็นบรรณาธิการ","serbest kürsü","Точка зору","bài viết bình luận độc lập","专栏","專欄","","","","","","","","","","","","","","","","","noun","An op-ed (short for opposite the editorial page) is an opinion-based article piece which expresses the opinions of an author. Users can apply a label by the same name, if their publication is opinion-based.",""
"رأي","","","názory","debatindhold","Meinungen","περιεχόμενο απόψεων","opinion content","opinion content","contenido de opinión","","","contenu d'opinion","राय सामग्री","","vélemény típusú tartalom","Konten opini","","editoriali","תוכן של הבעת דעה","意見コンテンツ","오피니언 콘텐츠","","","അഭിപ്രായ ഉള്ളടക്കം","opinie-inhoud","meningsytringer","opinie","conteúdo de opinião","conteúdo de opinião","conținut de opinie","мнение редакции","názor","","изношење мишљења","opinion","கருத்து உள்ளடக்கம்","అభిప్రాయ కంటెంట్","เนื้อหาความเห็น","görüş içeriği","незалежна думка","nội dung ý kiến","观点","讀者投書","","","","","","","","","","","","","","","","","noun","Label that is applied to a user's publication if they primarily publish opinion content.",""
"علوم وتكنولوجيا","Наука и технологии","ciència/tecnologia","Věda a technika","Videnskab/teknologi","Wissen/Technik","Επιστήμη και Τεχνολογία","Sci/Tech","Sci/Tech","Ciencia/Tecnología","Teadus/tehnoloogia","tiede/tekniikka","Science/Tech","विज्ञान/तकनीक","Znanost/tehnika","Tudomány/technológia","sains/teknologi","Tækni og vísindi","Scienze e tecnologie","מדע/טכנולוגיה","テクノロジー","과학기술","Moksl./techn.","Zinātne/tehnoloģijas","ശാസ്ത്രം/സാങ്കേതികം","Wetenschap/Techniek","Vitenskap og teknologi","Nauka/technika","Ciência/Tecnologia","Ciência e tecnologia","Ştiinţă/Tehnologie","Наука и техника","Veda a technika","znanost in tehnologija","Наука и техника","Vetenskap/teknik","அறிவியல்/தொழில்நுட்பம்","శాస్త్ర/సాంకేతిక","วิทย์/เทคโนฯ","Bilim/Teknoloji","Наука і техніка","Khoa học/Công nghệ","科技","科技","","","","","","","","","","","","","","","","","noun","Section. Shown in the left navigation bar of news search results &lt;p>URL showing this message:  &lt;a href=http://news.google.com/news?hl=en&amp;q=news target=example>http://news.google.com/news?hl=en&amp;q=news&lt;/a>",""
"بحث أرشيف الأخبار من Google","","Google News Archive Search","","Søgning i Googles nyhedsarkiv","Google News Archivsuche","Αναζήτηση σε αρχεία Eιδήσεων Google","Google News Archive Search","","Búsqueda en el archivo de Google Noticias","Google News Archive Search","Google-uutisarkistohaku","Recherche d'archives de Google Actualités","Google समाचार संग्रह खोज","Google pretraživanje arhive vijesti","Keresés a Google hírarchívumában","Penelusuran Arsip Google Warta","Google News Archive Search","Ricerca Archivio di Google News","חיפוש ארכיון של חדשות Google","Google ニュース アーカイブ検索","Google 뉴스 자료실 검색","„Google“ naujienų archyvo paieška","Meklēšana Google ziņu ahīvā","Google News Archive Search","Google News Archive Search","","Wyszukiwanie w archiwum Google News","","Pesquisa no arquivo do Google Notícias","Google News Archive Search","Поиск в архиве Новостей Google","Vyhľadávanie v archíve Google News","Google News Archive Search","Google News Archive Search","","Google News Archive Search","Google News Archive Search","Google ค้นคลังข่าว","Google Haberler Arşiv Araması","","","Google 新闻档案搜索","Google 新聞封存搜尋","Google News Archive Search","Chwilio Archif Newyddion Google","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","Google News Archive Search","गुगल समाचार संग्रह खोज","Google News Archive Search","","","","","noun","Google News Archive is an extension of Google News providing free access to scanned archives of newspapers and links to other newspaper archives on the web, News archive content refers to content older than 30 days.",""
"قسم","","","sekce","sektion","Bereich","ενότητα","section","section","sección","","","rubrique","अनुभाग","","panel","Rubrik","","sezione","מדור","セクション","섹션","","","വിഭാഗം","sectie","del","sekcja","seção","secção","secțiune","раздел","sekcia","","одељак","sektion","பிரிவு","విభాగం","หัวข้อ","bölüm","розділ","mục","版块","版面","","","","","","","","","","","","","","","","","noun","Specific to the Google News Publisher Center. A section is a subdirectory, subdomain, or index page of your news site where you post news articles. A section typically contains news articles that belong to the same category (e.g., “Business,” “Sports”) or topic (e.g., “US Elections”).",""
"إصدار","","","vydání","udgave","Ausgabe","έκδοση","edition","edition","edición","","","édition","संस्करण","","kiadás","edisi","","edizione","מהדורת","版","버전","","","പതിപ്പ്","versie","utgave","wydanie","edição","Edição","ediție","выпуск","edícia","","издање за","version","பதிப்பு","ఎడిషన్","ฉบับ","sürüm","випуск","ấn bản","版本","版","","","","","","","","","","","","","","","","","noun","A localized Google News property (homepage and related webpages).  An 'edition' corresponds to a market, or roughly speaking, a country or country+language. The UI of the edition is localized into the corresponding language, and the news articles and publications surfaced in it are often local to the market.",""
"التصنيف","","","štítek","etiket","Label","ετικέτα","label","label","etiqueta","","","libellé","लेबल","","címke","label","","etichetta","תווית","ラベル","라벨","","","ലേബൽ","label","etikett","etykieta","rótulo","etiqueta","etichetă","ярлык","štítok","","ознака","etikett","லேபிள்","లేబుల్","ป้ายกำกับ","etiket","мітка","nhãn","标签","標籤","","","","","","","","","","","","","","","","","noun","Labels are a pre-defined group of terms that are generally understood by users to characterize different types of news categories. These labels help Google News classify the content of your section or source.",""
