""""sw"""",""""ar"""",""""bg"""",""""ca"""",""""cs"""",""""da"""",""""de"""",""""el"""",""""en"""",""""en-GB"""",""""es-419"""",""""es"""",""""fi"""",""""fil"""",""""fr"""",""""hi"""",""""hr"""",""""hu"""",""""id"""",""""it"""",""""iw"""",""""ja"""",""""ko"""",""""lt"""",""""lv"""",""""nl"""",""""no"""",""""pl"""",""""pt-BR"""",""""pt-PT"""",""""ro"""",""""ru"""",""""sk"""",""""sl"""",""""sr"""",""""sv"""",""""th"""",""""tr"""",""""uk"""",""""vi"""",""""zh-CN"""",""""zh-TW"""",""""fa"""",""""pos"""",""""description"""",""""notes""""
"Muziki wa Google Play Bila Kikomo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Google Play Music subscription service.",""
"","شاشة الخريطة","екран с карта","pantalla de mapa","náhled mapy","kortvindue","Kartenansicht","οθόνη χάρτη","map screen","map screen","pantalla de mapa","pantalla de mapa","karttanäkymä","screen ng mapa","écran de localisation","मानचित्र स्क्रीन","zaslon s kartom/početni zaslon","térképnézet","layar peta","schermata mappa","מסך מפה","マップ スクリーン","지도 화면","žemėlapio ekranas","kartes ekrāns","kaartscherm","kartvindu","ekran mapy","tela do mapa","ecrã de localização","ecranul hartă","экран карты","okno mapy","zaslon zemljevida","окно мапе","kartbild","หน้าจอแผนที่","harita ekranı","екран карти","màn hình bản đồ","地图屏幕","地圖畫面","","noun","[BM] The initial screen within Building Maker for selecting a city and then building to create",""
"","مصمم","автор на модели","modelador","modelář","modelmager","Modellentwickler","δημιουργός μοντέλου","modeler","modeller","modelador","modelador","mallintaja","taga-modelo","créateur de modèles","मॉडलर","modelar","modell készítője","pemodel","creatore di modelli","בונה מודלים","モデル作成者","모델 제작자","modeliuotojas","modelētājs","modelmaker","modellskaper","projektant","criador de modelos","criador de modelos","modelator","разработчик","modelár","modelar","моделар","modellerare","ผู้สร้างแบบจำลอง","modelci","дизайнер","nhà xây dựng mô hình","建模者","建模者","","noun","a person who creates models",""
"","الأشياء المحيطة المجمعة","околни обекти","entorn agrupat","doprovodné prvky","tætpakkede omgivelser","gebündelte Umgebung","περιλαμβάνεται ο περιβάλλων χώρος","bundled entourage","bundled entourage","entorno agrupado","entorno agrupado","ympäröivät kohteet","bundled na entourage","éléments environnants","बंडल किए गए प्रतिवेश","popratni elementi","kötegelt környezeti elemek","pengiring yang terikut","oggetti complementari","ארוזות הפמליה","周囲の環境","주변 사물","susieti aplinkos objektų modeliai","apkārtnes pakete","gebundelde entourage","medfølgende materiale","elementy otoczenia","elementos externos agrupados","elementos do espaço envolvente integrados","elemente înconjurătoare","объекты окружения","previazaný sprievod","priloženi elementi","груписани околни објекти","objekt i omgivningen","ตัวประกอบโมเดล","gruplanmış çevre","пов’язане оточення","đối tượng ngoại lai","周边事物","周遭物件","","noun","Refers to external features included with a model which are not relevant for that model. For example, this can refer to cars, trees or people which are included with a model of a building.",""
"","حجب/ احتجاب","закриване","oclusió","zastínění","okklusion","Verdeckung","φράξιμο","occlusion","occlusion","oclusión","oclusión","näköeste","nakaharang","obturation","अवरोधन","zaklonjenost","kitakarás","aral","ostruzione","מוסתר","影で見えない部分","차단","paslėpimas","aizsegums","afgedekt","blokkering","zasłanianie","obstrução","oclusão","obturare","преграждение","oklúzia","zakritje","заклањање","blockering","ภาพทางอากาศบางส่วนของสิ่งปลูกสร้าง","kapatma","загородження","(sự) bịt kín","遮挡图","遮蓋圖","","noun","[BM] Refers to aerial photos of a building not being complete because the building was hidden behind another building when the photos were taken. In most cases, photos of the obstructed building were taken at other angles. These photos might be applied during the photo texturing process when you create the 3D version of the building that obstructed the original building. The more adjacent buildings you create, the less occlusion.",""
"","راجع، مراجعة","преглеждам","revisar","zkontrolovat","gennemse","bewerten","επισκόπηση","review","review","revisar","revisar","arvostella","i-review","donner un avis","समीक्षा करें","ocijeniti","véleményez","ulasan","recensire","לבדוק","審査（する）","평가의견","peržiūrėti","sniegt atsauksmi","bespreking","","opinia","analisar","rever","a consulta","оценить","recenzovať","pregledati","прегледати","granska","ตรวจสอบ","incelemek","переглянути","đánh giá","评价","評論","","verb","To review existing ratings for a model or collection.",""
"Masasisho","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","A section, or tab, of the Gmail inbox that only contains personal, auto-generated updates including confirmations, receipts, bills, and statements. Please use existing TC translations where possible. We will run a clean up post-naming if needed.",""
"Zana ya Kutafsiri kutoka Google","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","Google Translator Toolkit is a powerful and easy-to-use CAT tool designed to help translators edit the translations that Google Translate automatically generates.",""
"","تنزيل النموذج","изтеглям модела","baixa el model","stáhnout model","download model","Modell herunterladen","λήψη μοντέλου","download model","download model","descargar modelo","descargar modelo","","i-download ang modelo","télécharger le modèle","मॉडल डाउनलोड करें","preuzmi model","modellt letölt","unduh model","","להוריד מודל","モデルをダウンロード（する）","모델을 다운 받다","atsisiųsti modelį","lejupielādēt modeli","model downloaden","laste ned modell","pobierz model","fazer download","transferir modelo","a descărca modelul","загрузить модель","stiahnuť model","prenesti model","преузети модел","hämta modell","ดาวน์โหลดแบบจำลอง","modeli indirmek","завантажити модель","tải xuống mô hình","下载模型","下載模型","","verb","Initiates download of a 3D model. May allow the user to select a file type for download (i.e., skp, kmz, Collada).",""
"","","","","","","","","","","","","hydroninen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","noun","",""
